feature,missing_in_original,missing_pct_in_original,missing_values,missing_values_pct,imputed_count,imputed_pct_of_dataset
ping_ms,57707,28.157722672756197,0,0.0,57707,28.157722672756197
datarate,15679,7.650457202525593,0,0.0,15679,7.650457202525593
jitter,15679,7.650457202525593,0,0.0,15679,7.650457202525593
Pos in Ref Round,14159,6.9087839486293685,0,0.0,14159,6.9087839486293685
PCell_Band_Indicator,12607,6.151496520966908,0,0.0,12607,6.151496520966908
PCell_Uplink_bandwidth_MHz,12607,6.151496520966908,0,0.0,12607,6.151496520966908
PCell_Downlink_bandwidth_MHz,12607,6.151496520966908,0,0.0,12607,6.151496520966908
PCell_Uplink_Num_RBs,12210,5.957783177679539,0,0.0,12210,5.957783177679539
PCell_Uplink_TB_Size,12210,5.957783177679539,0,0.0,12210,5.957783177679539
PCell_Uplink_Tx_Power_(dBm),12210,5.957783177679539,0,0.0,12210,5.957783177679539
PCell_Downlink_Average_MCS,10506,5.126328424627456,0,0.0,10506,5.126328424627456
PCell_Downlink_TB_Size,10506,5.126328424627456,0,0.0,10506,5.126328424627456
PCell_Downlink_Num_RBs,10506,5.126328424627456,0,0.0,10506,5.126328424627456
PCell_SNR_2,10026,4.892115818133911,0,0.0,10026,4.892115818133911
PCell_SNR_1,10026,4.892115818133911,0,0.0,10026,4.892115818133911
PCell_RSSI_max,10026,4.892115818133911,0,0.0,10026,4.892115818133911
PCell_RSRQ_max,10026,4.892115818133911,0,0.0,10026,4.892115818133911
PCell_RSRP_max,10026,4.892115818133911,0,0.0,10026,4.892115818133911
Traffic Jam Factor,2878,1.4042997531008774,0,0.0,2878,1.4042997531008774
Altitude,91,0.04440280664773448,0,0.0,91,0.04440280664773448
measurement,0,0.0,0,0.0,0,0.0
speed_kmh,0,0.0,0,0.0,0,0.0
PCell_DL_RBs_MCS_Mid,0,0.0,0,0.0,0,0.0
PCell_DL_RBs_MCS_Low,0,0.0,0,0.0,0,0.0
target_datarate,0,0.0,0,0.0,0,0.0
Latitude,0,0.0,0,0.0,0,0.0
Longitude,0,0.0,0,0.0,0,0.0
COG,0,0.0,0,0.0,0,0.0
Traffic Distance,0,0.0,0,0.0,0,0.0
precipIntensity,0,0.0,0,0.0,0,0.0
precipProbability,0,0.0,0,0.0,0,0.0
temperature,0,0.0,0,0.0,0,0.0
humidity,0,0.0,0,0.0,0,0.0
windSpeed,0,0.0,0,0.0,0,0.0
PCell_DL_RBs_MCS_High,0,0.0,0,0.0,0,0.0
