,timestamp,Latitude,Longitude,Altitude,speed_kmh
216,2021-06-22 09:49:54+02:00,52.51401333333333,13.335171666666668,41.9,0.0
221,2021-06-22 09:49:55+02:00,52.51401166666667,13.335173333333334,41.9,0.0
226,2021-06-22 09:49:56+02:00,52.51401,13.335173333333334,41.9,0.0
229,2021-06-22 09:49:57+02:00,52.51400666666667,13.335173333333334,41.9,0.0
234,2021-06-22 09:49:58+02:00,52.514005,13.335173333333334,41.8,0.0
238,2021-06-22 09:49:59+02:00,52.514003333333335,13.335173333333334,41.8,0.0
242,2021-06-22 09:50:00+02:00,52.514001666666665,13.335173333333334,41.8,0.0
245,2021-06-22 09:50:01+02:00,52.514,13.335173333333334,41.7,0.0
250,2021-06-22 09:50:02+02:00,52.51399833333333,13.335173333333334,41.7,0.0
255,2021-06-22 09:50:03+02:00,52.513996666666664,13.335171666666668,41.7,0.0
259,2021-06-22 09:50:04+02:00,52.513995,13.335171666666668,41.6,0.0
263,2021-06-22 09:50:05+02:00,52.51399333333333,13.33517,41.5,0.0
266,2021-06-22 09:50:06+02:00,52.51399166666667,13.33517,41.5,0.0
270,2021-06-22 09:50:07+02:00,52.51399166666667,13.335168333333334,41.4,0.0
275,2021-06-22 09:50:08+02:00,52.51399,13.335168333333334,41.3,0.0
279,2021-06-22 09:50:09+02:00,52.51398666666667,13.335168333333334,41.3,0.0
281,2021-06-22 09:50:10+02:00,52.513985,13.335168333333334,41.2,0.0
287,2021-06-22 09:50:11+02:00,52.513981666666666,13.335166666666666,41.1,0.0
289,2021-06-22 09:50:12+02:00,52.513981666666666,13.335166666666666,41.1,0.0
292,2021-06-22 09:50:13+02:00,52.51398,13.335166666666666,41.0,0.0
299,2021-06-22 09:50:14+02:00,52.51398,13.335166666666666,41.0,0.0
301,2021-06-22 09:50:15+02:00,52.513978333333334,13.335166666666666,40.9,0.0
305,2021-06-22 09:50:16+02:00,52.513976666666665,13.335165,40.9,0.0
309,2021-06-22 09:50:17+02:00,52.513975,13.335165,40.9,0.0
314,2021-06-22 09:50:18+02:00,52.51397333333333,13.335163333333334,40.8,0.0
317,2021-06-22 09:50:19+02:00,52.51397166666667,13.335163333333334,40.8,0.0
323,2021-06-22 09:50:20+02:00,52.51397,13.335161666666666,40.7,0.0
326,2021-06-22 09:50:21+02:00,52.51396833333333,13.335161666666666,40.7,0.0
328,2021-06-22 09:50:22+02:00,52.513965,13.33516,40.7,0.0
335,2021-06-22 09:50:23+02:00,52.51395,13.335153333333333,40.4,0.0
338,2021-06-22 09:50:24+02:00,52.51394,13.335148333333333,40.1,0.0
342,2021-06-22 09:50:25+02:00,52.513933333333334,13.335143333333333,40.0,0.0
346,2021-06-22 09:50:26+02:00,52.51392833333333,13.335139999999999,40.0,0.0
348,2021-06-22 09:50:27+02:00,52.51392666666667,13.335138333333333,40.0,0.0
352,2021-06-22 09:50:28+02:00,52.513931666666664,13.335138333333333,40.1,0.0
359,2021-06-22 09:50:29+02:00,52.513935,13.335138333333333,40.2,0.0
363,2021-06-22 09:50:30+02:00,52.51394,13.335139999999999,40.3,0.0
367,2021-06-22 09:50:31+02:00,52.513945,13.335141666666667,40.4,0.0
370,2021-06-22 09:50:32+02:00,52.513945,13.335141666666667,40.4,0.0
374,2021-06-22 09:50:33+02:00,52.513945,13.335141666666667,40.4,0.0
377,2021-06-22 09:50:34+02:00,52.51394666666667,13.335141666666667,40.4,0.0
383,2021-06-22 09:50:35+02:00,52.51394666666667,13.335141666666667,40.4,0.0
385,2021-06-22 09:50:36+02:00,52.51394666666667,13.335141666666667,40.4,0.0
389,2021-06-22 09:50:37+02:00,52.51394666666667,13.335141666666667,40.4,0.0
395,2021-06-22 09:50:38+02:00,52.51394666666667,13.335141666666667,40.4,0.0
399,2021-06-22 09:50:39+02:00,52.51394666666667,13.335141666666667,40.4,0.0
403,2021-06-22 09:50:40+02:00,52.51394666666667,13.335141666666667,40.4,0.0
405,2021-06-22 09:50:41+02:00,52.51394666666667,13.335141666666667,40.4,0.0
409,2021-06-22 09:50:42+02:00,52.51394833333333,13.335141666666667,40.4,0.0
413,2021-06-22 09:50:43+02:00,52.51394833333333,13.335141666666667,40.4,0.0
418,2021-06-22 09:50:44+02:00,52.51394833333333,13.335141666666667,40.4,0.0
422,2021-06-22 09:50:45+02:00,52.51394833333333,13.335141666666667,40.4,0.0
426,2021-06-22 09:50:46+02:00,52.51394833333333,13.335141666666667,40.4,0.0
429,2021-06-22 09:50:47+02:00,52.51394833333333,13.335141666666667,40.4,0.0
433,2021-06-22 09:50:48+02:00,52.51394833333333,13.335141666666667,40.4,0.0
439,2021-06-22 09:50:49+02:00,52.51394833333333,13.335141666666667,40.5,0.0
442,2021-06-22 09:50:50+02:00,52.51394833333333,13.335141666666667,40.5,0.0
446,2021-06-22 09:50:51+02:00,52.513955,13.335143333333333,40.6,0.0
450,2021-06-22 09:50:52+02:00,52.51396,13.335145,40.6,0.0
453,2021-06-22 09:50:53+02:00,52.513965,13.335146666666667,40.8,0.0
459,2021-06-22 09:50:54+02:00,52.51397,13.335148333333333,40.9,0.0
462,2021-06-22 09:50:55+02:00,52.51397166666667,13.335148333333333,40.9,0.0
466,2021-06-22 09:50:56+02:00,52.51397166666667,13.335148333333333,40.9,0.0
468,2021-06-22 09:50:57+02:00,52.51397166666667,13.335148333333333,40.9,0.0
473,2021-06-22 09:50:58+02:00,52.51397166666667,13.335148333333333,40.9,0.0
