feature1,feature2,correlation
serving_cell_snr_1,serving_cell_rssi_1,1.0
orientation_y,twist_angular_z,1.0
orientation_x,line_of_sight,1.0
orientation_x,obstacles_sum,1.0
orientation_y,orientation_z,1.0
orientation_y,orientation_w,1.0
orientation_y,twist_linear_x,1.0
orientation_y,twist_linear_y,1.0
orientation_y,twist_linear_z,1.0
orientation_y,twist_angular_x,1.0
orientation_y,twist_angular_y,1.0
orientation_y,distance_to_bs,1.0
orientation_x,twist_angular_z,1.0
orientation_y,line_of_sight,1.0
orientation_y,obstacles_sum,1.0
orientation_z,orientation_w,1.0
orientation_z,twist_linear_x,1.0
orientation_z,twist_linear_y,1.0
orientation_z,twist_linear_z,1.0
orientation_z,twist_angular_x,1.0
orientation_z,twist_angular_y,1.0
orientation_z,twist_angular_z,1.0
orientation_x,distance_to_bs,1.0
orientation_x,twist_angular_y,1.0
position_y,line_of_sight,1.0
position_z,twist_angular_z,1.0
position_z,orientation_x,1.0
position_z,orientation_y,1.0
position_z,orientation_z,1.0
position_z,orientation_w,1.0
position_z,twist_linear_x,1.0
position_z,twist_linear_y,1.0
position_z,twist_linear_z,1.0
position_z,twist_angular_x,1.0
position_z,twist_angular_y,1.0
position_z,distance_to_bs,1.0
orientation_x,twist_angular_x,1.0
position_z,line_of_sight,1.0
position_z,obstacles_sum,1.0
Latitude,Longitude,1.0
orientation_x,orientation_y,1.0
orientation_x,orientation_z,1.0
orientation_x,orientation_w,1.0
orientation_x,twist_linear_x,1.0
orientation_x,twist_linear_y,1.0
orientation_x,twist_linear_z,1.0
orientation_z,distance_to_bs,1.0
orientation_z,line_of_sight,1.0
orientation_z,obstacles_sum,1.0
twist_angular_x,line_of_sight,1.0
twist_linear_z,twist_angular_x,1.0
twist_linear_z,twist_angular_y,1.0
twist_linear_z,twist_angular_z,1.0
twist_linear_z,distance_to_bs,1.0
twist_linear_z,line_of_sight,1.0
twist_linear_z,obstacles_sum,1.0
twist_angular_x,twist_angular_y,1.0
twist_angular_x,twist_angular_z,1.0
twist_angular_x,distance_to_bs,1.0
twist_angular_x,obstacles_sum,1.0
orientation_w,twist_linear_x,1.0
twist_angular_y,twist_angular_z,1.0
twist_angular_y,distance_to_bs,1.0
twist_angular_y,line_of_sight,1.0
twist_angular_y,obstacles_sum,1.0
twist_angular_z,distance_to_bs,1.0
twist_angular_z,line_of_sight,1.0
twist_angular_z,obstacles_sum,1.0
distance_to_bs,line_of_sight,1.0
