,col_1,col_2,corr
7414,PCell_Downlink_frequency,PCell_Uplink_frequency,1.0000000000000004
9160,SCell_Downlink_RBs_MCS_17,SCell_Downlink_RBs_MCS_27,1.0
1332,temperature,apparentTemperature,1.0
8656,SCell_Downlink_RBs_MCS_2,SCell_Downlink_RBs_MCS_17,1.0
9161,SCell_Downlink_RBs_MCS_17,SCell_Downlink_RBs_MCS_28,1.0
8573,SCell_Downlink_RBs_MCS_0,SCell_Downlink_RBs_MCS_17,1.0
8228,SCell_RSSI_2,SCell_RSSI_max,1.0
8948,SCell_Downlink_RBs_MCS_10,SCell_Downlink_RBs_MCS_17,1.0
3593,PCell_RSSI_2,PCell_RSSI_max,1.0
9457,SCell_Downlink_frequency,SCell_Uplink_frequency,0.9999999999999999
9482,SCell_TAC,SCell_MNC,0.9999998182164316
7607,PCell_TAC,PCell_MNC,0.9999981669333164
4063,PCell_E-ARFCN,PCell_Uplink_frequency,0.9999231598436962
4062,PCell_E-ARFCN,PCell_Downlink_frequency,0.9999231598436935
7788,PCell_MNC,operator,0.9985506083457839
7667,PCell_TAC,operator,0.9985488718624627
2803,PCell_RSRP_1,PCell_RSRP_max,0.9939328663787776
9468,SCell_Uplink_frequency,SCell_Band_Indicator,0.9799309578659126
9460,SCell_Downlink_frequency,SCell_Band_Indicator,0.9799309578659114
3148,PCell_RSRQ_1,PCell_RSRQ_max,0.9731760591294693
7851,SCell_RSRP_1,SCell_RSRP_max,0.9728829590443419
2924,PCell_RSRP_2,PCell_RSSI_max,0.9713418238061994
2923,PCell_RSRP_2,PCell_RSSI_2,0.9713418238061994
8019,SCell_RSRQ_1,SCell_RSRQ_max,0.9705051353074968
9486,SCell_TAC,operator,0.9690505145477796
9495,SCell_MNC,operator,0.9690492353327037
7661,PCell_TAC,SCell_TAC,0.9687953090925795
7663,PCell_TAC,SCell_MNC,0.9687936648480046
7782,PCell_MNC,SCell_TAC,0.9687888953276136
7784,PCell_MNC,SCell_MNC,0.9687876096200512
8465,SCell_E-ARFCN,SCell_freq_MHz,0.9616325007478681
7912,SCell_RSRP_2,SCell_RSSI_2,0.9577351468826156
7913,SCell_RSRP_2,SCell_RSSI_max,0.9577351468826156
2807,PCell_RSRP_1,PCell_RSSI_1,0.9563822482024643
3036,PCell_RSRP_max,PCell_RSSI_1,0.9512681230685894
