Feature_1,Feature_2,Correlation,Abs_Correlation
PCell_Downlink_frequency,PCell_Uplink_frequency,1.0000000000000004,1.0000000000000004
SCell_Downlink_RBs_MCS_2,SCell_Downlink_RBs_MCS_17,1.0,1.0
SCell_Downlink_RBs_MCS_10,SCell_Downlink_RBs_MCS_17,1.0,1.0
SCell_RSSI_2,SCell_RSSI_max,1.0,1.0
SCell_Downlink_RBs_MCS_17,SCell_Downlink_RBs_MCS_27,1.0,1.0
SCell_Downlink_RBs_MCS_17,SCell_Downlink_RBs_MCS_28,1.0,1.0
PCell_RSSI_2,PCell_RSSI_max,1.0,1.0
temperature,apparentTemperature,1.0,1.0
SCell_Downlink_RBs_MCS_0,SCell_Downlink_RBs_MCS_17,1.0,1.0
SCell_Downlink_frequency,SCell_Uplink_frequency,0.9999999999999999,0.9999999999999999
SCell_TAC,SCell_MNC,0.9999998182164316,0.9999998182164316
PCell_TAC,PCell_MNC,0.9999981669333164,0.9999981669333164
PCell_E-ARFCN,PCell_Uplink_frequency,0.9999231598436962,0.9999231598436962
PCell_E-ARFCN,PCell_Downlink_frequency,0.9999231598436935,0.9999231598436935
SCell_Downlink_RBs_MCS_4,SCell_Downlink_RBs_MCS_10,-0.9997935365674834,0.9997935365674834
PCell_Band_Indicator,SCell_freq_MHz,-0.9986258816504981,0.9986258816504981
PCell_MNC,operator,0.9985506083457839,0.9985506083457839
PCell_TAC,operator,0.9985488718624627,0.9985488718624627
PCell_RSRP_1,PCell_RSRP_max,0.9939328663787776,0.9939328663787776
PCell_freq_MHz,SCell_freq_MHz,-0.9904515139810738,0.9904515139810738
SCell_Uplink_frequency,SCell_Band_Indicator,0.9799309578659126,0.9799309578659126
SCell_Downlink_frequency,SCell_Band_Indicator,0.9799309578659114,0.9799309578659114
PCell_RSRQ_1,PCell_RSRQ_max,0.9731760591294693,0.9731760591294693
SCell_RSRP_1,SCell_RSRP_max,0.9728829590443419,0.9728829590443419
PCell_RSRP_2,PCell_RSSI_2,0.9713418238061994,0.9713418238061994
PCell_RSRP_2,PCell_RSSI_max,0.9713418238061994,0.9713418238061994
SCell_RSRQ_1,SCell_RSRQ_max,0.9705051353074968,0.9705051353074968
SCell_TAC,operator,0.9690505145477796,0.9690505145477796
SCell_MNC,operator,0.9690492353327037,0.9690492353327037
PCell_TAC,SCell_TAC,0.9687953090925795,0.9687953090925795
PCell_TAC,SCell_MNC,0.9687936648480046,0.9687936648480046
PCell_MNC,SCell_TAC,0.9687888953276136,0.9687888953276136
PCell_MNC,SCell_MNC,0.9687876096200512,0.9687876096200512
PCell_Uplink_frequency,SCell_E-ARFCN,-0.965189899477421,0.965189899477421
PCell_Downlink_frequency,SCell_E-ARFCN,-0.9651898994774152,0.9651898994774152
PCell_E-ARFCN,SCell_E-ARFCN,-0.9649594478172753,0.9649594478172753
PCell_Band_Indicator,SCell_E-ARFCN,-0.9628747523660526,0.9628747523660526
SCell_E-ARFCN,SCell_freq_MHz,0.9616325007478681,0.9616325007478681
SCell_RSRP_2,SCell_RSSI_2,0.9577351468826156,0.9577351468826156
SCell_RSRP_2,SCell_RSSI_max,0.9577351468826156,0.9577351468826156
PCell_RSRP_1,PCell_RSSI_1,0.9563822482024643,0.9563822482024643
PCell_RSRP_max,PCell_RSSI_1,0.9512681230685894,0.9512681230685894
PCell_Uplink_Num_RBs,PCell_Uplink_TB_Size,0.9491848314281794,0.9491848314281794
PCell_freq_MHz,SCell_E-ARFCN,-0.9420271689058561,0.9420271689058561
PCell_Uplink_frequency,PCell_Band_Indicator,0.9416786816740641,0.9416786816740641
PCell_Downlink_frequency,PCell_Band_Indicator,0.9416786816740627,0.9416786816740627
PCell_E-ARFCN,PCell_Band_Indicator,0.9415874788893189,0.9415874788893189
PCell_RSRP_2,SCell_RSRP_2,0.9338086304602211,0.9338086304602211
SCell_RSRP_1,SCell_RSSI_1,0.9260513808808669,0.9260513808808669
SCell_Downlink_RBs_MCS_4,SCell_Downlink_RBs_MCS_17,0.924113204349363,0.924113204349363
PCell_RSSI_2,SCell_RSSI_2,0.9222169885183998,0.9222169885183998
PCell_RSSI_max,SCell_RSSI_max,0.9222169885183998,0.9222169885183998
PCell_RSSI_max,SCell_RSSI_2,0.9222169885183998,0.9222169885183998
PCell_RSSI_2,SCell_RSSI_max,0.9222169885183998,0.9222169885183998
PCell_RSSI_max,SCell_RSRP_2,0.9195612024132411,0.9195612024132411
PCell_RSSI_2,SCell_RSRP_2,0.9195612024132411,0.9195612024132411
SCell_Downlink_RBs_MCS_10,SCell_Downlink_RBs_MCS_27,0.906529415674997,0.906529415674997
PCell_E-ARFCN,SCell_freq_MHz,-0.8986053503783961,0.8986053503783961
datarate,SCell_Downlink_TB_Size,0.8984106869329768,0.8984106869329768
PCell_Uplink_frequency,SCell_freq_MHz,-0.8971648012764161,0.8971648012764161
PCell_Downlink_frequency,SCell_freq_MHz,-0.8971648012764122,0.8971648012764122
PCell_RSRP_2,SCell_RSSI_2,0.8961877459523758,0.8961877459523758
PCell_RSRP_2,SCell_RSSI_max,0.8961877459523758,0.8961877459523758
SCell_RSRP_max,SCell_RSSI_1,0.8934984598211588,0.8934984598211588
precipIntensity,precipProbability,0.8903712495756481,0.8903712495756481
SCell_RSRQ_2,SCell_RSRQ_max,0.8792124360175251,0.8792124360175251
apparentTemperature,humidity,-0.8615535469150744,0.8615535469150744
temperature,humidity,-0.8615535469150744,0.8615535469150744
SCell_SNR_1,SCell_SNR_2,0.8612548929094626,0.8612548929094626
PCell_RSRP_max,SCell_RSRP_max,0.8502156542521844,0.8502156542521844
PCell_RSRP_1,SCell_RSRP_max,0.846217974239643,0.846217974239643
PCell_Cell_Identity,SCell_Cell_Identity,0.8426789376247185,0.8426789376247185
PCell_RSRP_1,SCell_RSRP_1,0.8378182187660737,0.8378182187660737
PCell_RSRP_max,SCell_RSRP_1,0.8370123195412046,0.8370123195412046
SCell_Downlink_RBs_MCS_3,SCell_Downlink_RBs_MCS_17,0.8359540522793122,0.8359540522793122
PCell_Downlink_Num_RBs,PCell_Downlink_TB_Size,0.835704542408106,0.835704542408106
SCell_Downlink_RBs_MCS_5,SCell_Downlink_RBs_MCS_17,0.8352596812353079,0.8352596812353079
SCell_RSRP_2,SCell_RSRP_max,0.8343263454177742,0.8343263454177742
PCell_Downlink_TB_Size,PCell_Downlink_RBs_MCS_31,0.824393961169647,0.824393961169647
datarate,PCell_Downlink_TB_Size,0.8230607877345798,0.8230607877345798
SCell_RSRQ_1,SCell_RSRQ_2,0.807741935396865,0.807741935396865
PCell_RSRP_2,PCell_SNR_2,0.8063510809263038,0.8063510809263038
SCell_RSRP_max,SCell_RSSI_max,0.805334204786666,0.805334204786666
SCell_RSRP_max,SCell_RSSI_2,0.805334204786666,0.805334204786666
PCell_RSSI_1,SCell_RSRP_max,0.8046631149743732,0.8046631149743732
dewPoint,pressure,-0.8041748650631269,0.8041748650631269
PCell_Downlink_Num_RBs,PCell_Downlink_RBs_MCS_31,0.8033839014786666,0.8033839014786666
SCell_Downlink_RBs_MCS_5,SCell_Downlink_RBs_MCS_10,0.7998418762503045,0.7998418762503045
temperature,cloudCover,-0.7986824876531254,0.7986824876531254
apparentTemperature,cloudCover,-0.7986824876531254,0.7986824876531254
PCell_RSSI_1,SCell_RSRP_1,0.794632032756345,0.794632032756345
PCell_RSSI_1,SCell_RSSI_1,0.7945400561301511,0.7945400561301511
PCell_SNR_1,PCell_SNR_2,0.7856444035859245,0.7856444035859245
PCell_RSRP_2,PCell_RSRP_max,0.783658395234025,0.783658395234025
SCell_RSRP_1,SCell_RSRP_2,0.7772430237395344,0.7772430237395344
PCell_Downlink_Num_RBs,target_datarate,0.7770843183130645,0.7770843183130645
SCell_SNR_1,SCell_Downlink_Average_MCS,0.7700513172019943,0.7700513172019943
PCell_RSRQ_2,PCell_RSRQ_max,0.7689893659873649,0.7689893659873649
SCell_RSSI_1,SCell_RSSI_2,0.7685330930461785,0.7685330930461785
SCell_RSSI_1,SCell_RSSI_max,0.7685330930461785,0.7685330930461785
PCell_RSRQ_2,PCell_SNR_2,0.766348741502055,0.766348741502055
PCell_Downlink_Num_RBs,SCell_Downlink_Num_RBs,0.7663467189946535,0.7663467189946535
PCell_RSRP_1,SCell_RSSI_1,0.7644854326959305,0.7644854326959305
PCell_RSRP_max,PCell_SNR_2,0.7638975327857885,0.7638975327857885
PCell_RSRP_max,SCell_RSSI_1,0.7628511180326607,0.7628511180326607
PCell_RSRP_1,PCell_RSRP_2,0.7598989263033881,0.7598989263033881
PCell_RSSI_1,PCell_RSSI_max,0.7561540169860157,0.7561540169860157
PCell_RSSI_1,PCell_RSSI_2,0.7561540169860157,0.7561540169860157
SCell_RSRP_1,SCell_RSSI_max,0.7553108145278045,0.7553108145278045
SCell_RSRP_1,SCell_RSSI_2,0.7553108145278045,0.7553108145278045
pressure,measurement,0.7527332250952489,0.7527332250952489
SCell_RSRP_2,SCell_SNR_2,0.7501215876752396,0.7501215876752396
PCell_RSRP_2,SCell_RSRP_max,0.7499172339375346,0.7499172339375346
PCell_RSRP_1,PCell_SNR_2,0.7474407678104935,0.7474407678104935
PCell_RSRP_max,PCell_RSSI_max,0.7447780143565731,0.7447780143565731
PCell_RSRP_max,PCell_RSSI_2,0.7447780143565731,0.7447780143565731
PCell_RSRP_2,PCell_RSSI_1,0.7400252272877307,0.7400252272877307
PCell_Downlink_RBs_MCS_7,PCell_Downlink_RBs_MCS_8,0.7398016296542347,0.7398016296542347
PCell_Downlink_RBs_MCS_5,PCell_Downlink_RBs_MCS_6,0.7375815760484097,0.7375815760484097
PCell_Downlink_RBs_MCS_6,PCell_Downlink_RBs_MCS_7,0.7374637684955999,0.7374637684955999
PCell_Downlink_RBs_MCS_14,PCell_Downlink_RBs_MCS_30,0.7360039707318216,0.7360039707318216
PCell_Downlink_RBs_MCS_15,PCell_Downlink_RBs_MCS_17,0.7356657607391185,0.7356657607391185
PCell_Downlink_RBs_MCS_4,PCell_Downlink_RBs_MCS_5,0.7316284172163122,0.7316284172163122
SCell_Downlink_TB_Size,SCell_Downlink_RBs_MCS_31,0.7290694892229836,0.7290694892229836
PCell_Cell_Identity,PCell_TAC,-0.7248284027487152,0.7248284027487152
PCell_Cell_Identity,PCell_MNC,-0.7246831255659143,0.7246831255659143
PCell_Downlink_RBs_MCS_8,PCell_Downlink_RBs_MCS_10,0.7243929178022268,0.7243929178022268
PCell_Downlink_RBs_MCS_10,PCell_Downlink_RBs_MCS_11,0.7239711951909084,0.7239711951909084
PCell_Cell_Identity,operator,-0.7234632616855252,0.7234632616855252
PCell_RSSI_2,SCell_RSRP_max,0.723316130017639,0.723316130017639
PCell_RSSI_max,SCell_RSRP_max,0.723316130017639,0.723316130017639
PCell_Downlink_RBs_MCS_13,PCell_Downlink_RBs_MCS_30,0.7224595178101503,0.7224595178101503
SCell_RSRQ_2,SCell_SNR_2,0.7220917464689584,0.7220917464689584
PCell_RSRP_1,PCell_RSSI_2,0.7215304389451754,0.7215304389451754
PCell_RSRP_1,PCell_RSSI_max,0.7215304389451754,0.7215304389451754
PCell_RSSI_2,PCell_SNR_2,0.7214977204867841,0.7214977204867841
PCell_RSSI_max,PCell_SNR_2,0.7214977204867841,0.7214977204867841
PCell_RSRP_1,PCell_SNR_1,0.7207401532572634,0.7207401532572634
PCell_Downlink_RBs_MCS_11,PCell_Downlink_RBs_MCS_12,0.7204361032271687,0.7204361032271687
SCell_SNR_2,SCell_Downlink_Average_MCS,0.7187525898974239,0.7187525898974239
PCell_Downlink_RBs_MCS_17,PCell_Downlink_RBs_MCS_18,0.7179756743274097,0.7179756743274097
PCell_Downlink_RBs_MCS_31,target_datarate,0.7178346921452696,0.7178346921452696
apparentTemperature,dewPoint,0.7161046849279322,0.7161046849279322
temperature,dewPoint,0.7161046849279322,0.7161046849279322
PCell_Uplink_Tx_Power_(dBm),SCell_RSRP_max,0.7156237393637769,0.7156237393637769
precipIntensity,measurement,0.710154530715452,0.710154530715452
PCell_RSRP_2,SCell_RSRP_1,0.7079737701818423,0.7079737701818423
PCell_RSRP_max,PCell_SNR_1,0.7078494152363407,0.7078494152363407
SCell_Downlink_RBs_MCS_10,SCell_Downlink_RBs_MCS_22,0.707515110075601,0.707515110075601
PCell_Downlink_RBs_MCS_14,PCell_Downlink_RBs_MCS_15,0.7028385288388391,0.7028385288388391
PCell_Downlink_RBs_MCS_13,PCell_Downlink_RBs_MCS_14,0.7016643276926732,0.7016643276926732
PCell_Downlink_Num_RBs,PCell_Downlink_RBs_MCS_30,0.7011039428617978,0.7011039428617978
PCell_Downlink_RBs_MCS_18,PCell_Downlink_RBs_MCS_19,0.7007508063752961,0.7007508063752961
PCell_Downlink_TB_Size,SCell_Downlink_TB_Size,0.7002901198144599,0.7002901198144599
